연번,시도명,시군구명,축제명,"2019년
개최기간",축제주요내용,"주최/주관
(담당자 연락처)","최초개최년도
및 횟수","2019년
축제예산",국비,"시,도비","구,군비",기타,"국비지원
부처명",세부사업명,"축제종류
(택1)",문화관광축제 여부,축제소재,개최주기,조직형태,"축제사무국
상설화여부 ","사업위탁
운영여부",합 계,내국인,외국인,개최장소
20,서울특별시,중구,제4회충무로뮤지컬영화제," 7.5~7.14 
(10일간)"," - 개폐막작 및 8개 섹션,40편 상영
 - 공식 개·폐막식, 초청작 상영, 야외상영, 심야상영 등","중구중구문화재단
(02-2230-6641)","2016년
(3회)",790(미확정),0,240,550,0,,,문화예술,지역축제,영화,매년,재단법인,"있음
총 18명",부분위탁,"36,500","36,500",0,"충무아트센터, DDP 일대"
21,서울특별시,동대문구,선농대제,"4. 20
(1일간)","○ 제례행렬
○ 선농제향
○ 설렁탕 재현 등",선농단 보존회,"1979년
(41회)",113,0,50,63,0,,,전통역사,지역축제,풍년기원,매년,사단법인,있음,부분위탁,5,,,유적지
22,서울특별시,동대문구,세계거리춤축제,"10월 중
(2일간)","○ 세계의 춤 공연
○ 댄스 전문 동호회 공연, 댄스 경연 등 
○ 개폐막 공연, 주제공연 및 문화공연
    -30여개 프로그램
○ 각종 체험부스, 먹거리부스 운영","(사)세계거리춤축제위원회
(02-2127-4711)","2008년도
(8회)",160,40,100,20,0,,,주민화합,지역축제,세계의 춤,매년,사단법인,"있음
계약직 3명","부분위탁
(하드웨어,프로그램)",500,,,시내거리
23,서울특별시,동대문구,청룡문화제,"10. 26~ 27
(2일간)","○ 어가행렬
○ 청룡제향
○ 축하콘서트, 전통문화 체험부스 운영","동대문문화원
(02-2127-4705)","1991년도
(28회)",85,0,35,50,0,,,전통역사,지역축제,기우제,매년,재단법인,"있음
정규직 3명",전체위탁,10,,,공원
24,서울특별시,동대문구,서울약령시 한방축제,"10월 말
(2일간)","○ 보제원 제향 및 거리퍼레이드
○ 한방사랑 시민걷기대회
○ 한방약선 요리대회 등","(사)서울약령시협회
(02-969-4793)","1995년도
(25회)",205,0,120,65,20,,,지역특산물,지역축제,한약,매년,사단법인,"있음
정규직 3명",전체위탁,45,,,시장
25,서울특별시,관악구,관악 강감찬축제,"10.18~10.19
(2일간)","○ 귀주대첩 전승행력 거리퍼레이드(대표프로그램)
 ○ 관악구의 역사문화자원인 강감찬 장군을 테마로한
     공연, 전시, 체험프로그램 운영
 ○ 개폐막 공연, 주제공연 및 문화공연
    - 7개 분야 20여개 프로그램
 ○ 기타 특별행사 및 전시 등등","관악구
(02-879-5603)","1988년도
(31회)
*기존
관악산철쭉제",542,2,240,300,0,문체부,자연유산 민속행사,문화예술,지역축제,강감찬 장군,매년,축제조직위,없음,자체추진,150,150,,"공원, 광장 등"
26,서울특별시,구로구,"2019 G페스티벌
(구로아시아문화축제)","9.27~29
(3일간)","○ 아시아 드림콘서트
○ 아시아를 테마로한 공연, 전시, 체험프로그램 운영
   - 아시아 한마당(전통공연 등)
   - 아시아특별기획 프로그램(ex. 아시아누들 축제 등)
   - 아시아 마켓
○ 개폐막 공연 , 주제공연 및 문화공연
○ 어린이 테마파크, 건강노익장 대회, 주민자치발표회 등","구로구 문화관광과
/구로문화재단
(02-860-2585)","2015년도
(5회)",834,334,100,400,0,문체부,(균특) 구로아시아한마당음악회,주민화합,지역축제,아시아,매년,공공,비상설,자체추진,120,100,20,"공원, 하천"
27,서울특별시,양천구,2019양천해우리페스티벌,"2019.10월중
(3일간)","○ 양천예술제를 포함한 양천구 종합축제로 확대 개최 추진
○ 반려동물축제, 로데오거리축제 등 서울시민과 함께할 수 있는 
    종합문화예술 축제 마련
○ 마을축제, 마을동아리 공연, 전시, 체험 등","양천구 문화체육과
2620-3404",1회,197,0,70,127,0,,,문화예술,지역축제,"문화관광
(반려동물 , 공연, 전시 등)",매년,공공(시군구),없음,"부분위탁
(프로그램)",4,4,,양천공원 등
28,서울특별시,노원구,노원탈축제,"10.19.~20.
(2일간)","○ 탈 퍼레이드 경연대회, 플래시몹
○ 전야제, 초청공연 및 주민참여형 공연
○ 각종 만들기, 공익, 전시, 먹거리 등 다양한 부스 운영","노원탈축제추진위원회
(2116-3772)","2013년
(7회)",391,0,100,291,0,,,주민화합,지역축제,"전통탈을 기반으로 ""일탈""을 주제로 도심형 주민참여형 축제 ",매년,축제조직위,비상설,전체위탁,340,339,1,시내거리
29,서울특별시,노원구,노원등축제,"4.27~5.6.
(10일간)","○ 등 작품, LED 조형물 전시
○ 개막식, 특별행사, 부대행사",노원문화원,"2014년
(6회)",163,0,50,113,0,,,주민화합,지역축제,친환경생태하천 당현천에서 작품 등 전시 및 부대행사 진행,매년,공공(시군구),없음,전체위탁,280,280,,하천
30,서울특별시,시자체,온동네어울림한마당,"9.27~9.28
(2일간)"," ○ 관리형 주거환경개선사업 주민공동체 홍보 및 네트워크 강화를 위한 행사
 ○ 프리미켓, 주민공연, 체험프로그램
 ○ 개폐막 공연, 주제공연 및 문화공연 등
    - 10개 분야 20개 프로그램","서울특별시 주거환경개선과 
/ 비영리단체 저층주거지재생사업단
(02-2133-7256)","2016년
(4회)",80,0,80,0,0,-,-,주민화합,지역축제,"마을상품, 체험 등",매년,임의단체(주민),없음,자체추진,20,16,4,광화문광장
31,서울특별시,시자체,성곽마을 주민한마당,"10.3~10.14
(12일간)"," ○ 주민역량강화, 상호협력하는 성곽마을 전체의 화합의 장
 ○ 미니강연회, 성곽마을 탐방주간운영, 가치공유박람회","서울특별시 주거환경개선과 
(02-2133-7257)",2017(3회),30,0,30,0,0,,,주민화합,지역축제,성곽마을탐방 등,매년,주민네트워크,없음,자체추진,2,2,,성곽마을
32,서울특별시,시자체,2019 서울정원박람회,"10.3~10.9
(7일간)","○ 마을주민과 전문작가와의 협업을 통한 주민참여정원 조성
○ 정원산업전 특별 프로그램 신설(ex.우수제품 콘테스트 등)
○ 가족화분만들기, 스탬프투어 등 시민참여프로그램 운영
○ 조경·정원발전을 위한 정원 콘퍼런스
○ 가든시네마, 가을밤의 정원 음악회 등 정원문화페스티벌","서울특별시 푸른도시국 조경과
(02-2133-2112)","2015년도
(5회)","1,635",0,1635,0,0,,,문화예술,지역축제,전시정원,매년,자문위원회,없음,"부분위탁
(프로그램)",905,897,8,마을
33,서울특별시,마포구,제12회 마포나루 새우젓축제,"10.18~10.20
(3일간)","○ 핵심프로그램 : 황포돛배 입항재현
○ 개장식, 개막식, 문화·체험·판매행사
  - 8개분야 78개 프로그램","마포구 문화진흥과/마포문화원
(02-3153-8352)","2008년도
(12회)",300,0,0,300,0,,,문화예술,지역축제,"한강, 마포나루, 새우젓, 황포돛배",매년,"·공공(마포구)
·사단법인
   (마포문화원)",없음,전체위탁,650,,,"월드컵공원 
평화의광장"
34,서울특별시,마포구,서울와우북페스티벌,9월 중,"○ 복합책문화예술축제
○ 도서 판매, 강연, 공연 등","와우책문화예술센터
(02-336-1585)","2005년도
(15회)",미정,,,,,,,문화예술,지역축제,책,매년,사단법인,없음,자체추진,300,,,"홍대걷고
싶은거리"
35,서울특별시,마포구,서울프린지페스티벌,8월 중,○ 독립예술제,"서울프린지네트워크
(02-325-8150)","1998년도
(21회)",미정,,,,,,,문화예술,지역축제,독립예술,매년,사단법인,없음,자체추진,4,,,월드컵경기장
36,서울특별시,마포구,서울국제뉴미디어페스티벌,8월 중,"○ 대안영상미디어축제
○ 서울국제뉴미디어대안영화제, 전시제, 뉴미디어아트페스티벌, 개막식, 폐막식 등","(사)대안영상문화발전소 
아이공(02-337-2870)","2001년도
(19회)",미정,,,,,,,문화예술,지역축제,대안영상미디어,매년,사단법인,없음,자체추진,55,,,서교예술실험센터 등
37,서울특별시,마포구,2019 판 페스티벌,11월 중,"○ 홍대를 기반으로 활동하고 있는 언플러그드 아티스트들, 미술, 공예작가들, 창작국악공연 등으로 구성되어 있는 복합문화축제","극단 산울림
(02-334-5915)","2015년도
(4회)",미정,,,,,,,문화예술,지역축제,복합문화,매년,사단법인,없음,자체추진,10,,,산울림소극장
38,서울특별시,마포구,홍대앞 예술시장 프리마켓,3.~11.,"○ 생활창작품 전시·판매, 공연 등","일상예술창작센터
(325-8553)","2015년도
(5회)",미정,,,,,,,문화예술,지역축제,생활창작품,매년,사단법인,없음,자체추진,10,,,홍익문화공원
39,서울특별시,시자체,벚꽃축제,"4.6.~4.21.
(16일간)",○ 벚꽃 주제 공연 및 전시 등 벚꽃 만개의 아름다움을 시민과 공유,"서울대공원 전략기획실
(02-500-7022)","2016년도
(4회)",70,0,70,0,0,,,문화예술,지역축제,벚꽃,매년,공공(시군구),없음,부분위탁,266,266,,공원
40,서울특별시,시자체,장미원축제,"5.25.~6.9.
(16일간)",○ 사진찍고 데이트하기 좋은 장미원 사진공모전 및 공연 등,"서울대공원 전략기획실
(02-500-7022)","2001년도
(19회)",50,0,50,0,0,,,문화예술,지역축제,장미,매년,공공(시군구),없음,부분위탁,110,110,,공원
41,서울특별시,시자체,동물원 속 미술관,"10.9.~10.20.
(12일간)","○ 상상 속 동물과 살아있는 동물원이 만나는 예술 동물원,
    동물 작품 전시, 멸종위기종 보호를 위한 재활용 공예 등","서울대공원 전략기획실
(02-500-7022)","2016년도
(4회)",100,0,100,0,0,,,문화예술,지역축제,"동물, 예술",매년,공공(시군구),없음,부분위탁,157,157,,공원
42,서울특별시,종로구,종로랑 페스티벌,10.20.~10.21.(2일간),"○ 생활문화 예술동아리 연합 축제 
    -  개막 공연, 체험·마켓, 전시(4개분야)","종로구 문화과 
/ 종로문화재단
(02-2148-1805)","2017년도
(2회)",30,0,30,0,0,,,문화예술,지역축제,동아리,매년,축제조직위,해당없음,자체추진,"1,150","1,150",,대학로
43,서울특별시,종로구,대학로거리공연축제,"5.16.~ 5.19.
(4일간)","○ 거리공연프로그램
  (움직이는 그림, 마로니에 버블타임 등)","(사)한국소극장협회
(주지선,02-742-4188)","2007년도
(13회)",180,0,180,0,0,,,문화예술,지역축제,거리공연,매년,"사단법인
축제조직위원회","있음

정규직 1명
 ",전체위탁,40,40,,대학로 일대
44,서울특별시,종로구,대학로문화축제,"8.21.~ 8.25.
(5일간)","○ 대학생 기획 및 진행 프로그램
  (아시아 대학생들의  전통문화공연 등)","대학로문화축제추진위원회
(오세민,02-766-9033))","2002년도
(17회)",65,0,15,50,0,,,문화예술,지역축제,대학문화,매년,"사단법인
축제조직위원회","있음

정규직 1명",전체위탁,10,10,,대학로 일대
45,서울특별시,종로구,종로한복축제,"9.20.~9.22.
(3일간)"," ○ 평화와 사랑의 강강술래
 ○ 신명과 화합의 북의 메아리(진도북춤)
 ○ 금난새와 함께하는 한복음악회 등","종로구 문화과/ 종로문화재단
(02-2148-1803)","2016년도
(4회)",290,0,240,50,0,,,전통역사,지역축제,한복,매년,재단법인,비상설,부분위탁,137,137,0,광화문광장
46,서울특별시,종로구,윤동주문학제,9.6. ~ 9.8. (3일간)," ○ 윤동주창작음악제
 ○ 윤동주 시인을 테마로 한 시화공모전
 ○ 문학토크콘서트
 ○ 다큐멘터리 <잊지못할 윤동주> 상영회
 ○  시민과 함께하는 열린콘서트 및 기타 부대행사 개최",종로구청 문화과 (02-2148-1808) / 종로문화재단 (02-6203-1162),2014년도 (6회),80,0,25,55,0,,,문화예술,지역축제,시인,매년,비영리 재단법인,없음,자체추진,10,10,,"윤동주문학관, 시인의 언덕, 청운문학도서관"
47,서울특별시,서초구,서리풀페스티벌,"9.21~9.28
(8일간)","○ 퍼레이드, 지상최대 스케치북 
○ 고품격 기획공연 및 폐막공연
○ 프린지 공연 (청년예술인 공연, 아마추어 공연 등)
○ 지역특화프로그램 (지역축제)","서초구, 서초문화재단
 / 서리풀페스티벌 조직위원회
(02-2155-6228)","2015년도
(5회)",295,0,0,295,0,,,문화예술,지역축제,"서초역사
문화예술",매년,축제조직위,없음,부분위탁,70,,,서초구 전역
48,서울특별시,서초구,반포서래 한불음악축제,9월 중,"○국내·프랑스 뮤지션 축하공연, 주민참여공연, 불꽃놀이, 먹거리부스(푸드트럭) 운영"," 반포서래 한불음악축제 추진위원회(반포본·1·2·3·4동 주민자치위원회)
(02-2155-7685)","2008년도
(12회)",78,0,0,78,0,,,문화예술,지역축제,문화예술,매년,축제추진위,없음,부분위탁,25,,,반포한강공원
49,서울특별시,서초구,서초골 축제,9월 중,"○클래식음악회, 오페라&뮤지컬 갈라콘서트 개최","서초1?2?3?4동 주민자치위원회/
서초골축제추진위원회","2011년도
(9회)",40,0,0,40,0,,,문화예술,지역축제,문화예술,매년,축제추진위,없음,해당없음,2,,,예술의전당
50,서울특별시,서초구,정월대보름 달맞이행사,2월 중,"○달집태우기, 지신밟기 등 전통문화행사 재현
○쥐불놀이, 윷놀이, 널뛰기 등 전통 민속놀이 체험장 운영","양재1·2·내곡동 주민자치위원회/
(주관동:내곡동, 02-2155-7948)","2007년도
(13회)",25,0,0,25,0,,,문화예술,지역축제,문화예술,매년,공공(읍면동),없음,해당없음,2,,,양재천
51,서울특별시,서초구,잠원나루축제,9월 중,"○왕비친잠행사, 주민참여공연, 누에생태체험관, 먹거리장터 운영","잠원동 주민자치위원회/
(02-2155-7547)","2012년도
(8회)",13,0,0,12.5,0,,,문화예술,지역축제,문화예술,매년,공공(읍면동),없음,해당없음,3,,,잠원체육공원
52,서울특별시,서초구,행복내곡축제,4~12월,"○내곡가족 청계산 나들이, 행복내곡 마을축제 등","내곡지구입주민모임
(행복내곡추진본부)","2014년도
(6회)",2,0,0,0,2,,,주민화합,지역축제,문화예술,매년,임의단체,없음,해당없음,2,,,언남초등학교
53,서울특별시,서초구,양재마을축제,5~11월,"○음악공연, 다문화체험, 벼룩시장 등",양재마을넷,"2015년도
(5회)",1,0,0,0,1,,,주민화합,지역축제,문화예술,매년,임의단체,없음,해당없음,2,,,양재2동
54,서울특별시,서초구,서초마을교육문화축제,4~11월,"○서초마을 문화예술 및 미디어활동, 건강문화예술마을 만들기",서초커뮤니티네트워크,"2015년도
(5회)",0,0,0,0,0,,,주민화합,지역축제,문화예술,매년,임의단체,없음,해당없음,1,,,서초지역
55,서울특별시,서초구,말죽거리축제,9월 중,"○말퍼레이드 및 승마체험, 특산물 장터, 노래자랑 등",말죽거리소상공인연합회,"2015년도
(5회)",15,0,0,10,5,,,문화예술,지역축제,문화예술,매년,임의단체,없음,해당없음,1,,,"양재시장
말죽거리 일대"
56,서울특별시,서초구,우솔마을 축제,10월 중,○체육대회 및 장기자랑 등 개최,우솔마을발전위원회,"2015년도
(5회)",2,0,0,0,2,,,주민화합,지역축제,문화예술,매년,임의단체,없음,해당없음,1,,,우솔초등학교
57,서울특별시,서초구,"여의천 문화축제
(前 청계산단풍축제)",10월 중,"○전통문화 체험행사(부대행사, 먹거리 장터 등)",청계산단풍축제추진위원회,"2015년도
(5회)",13,0,0,0,13,,,주민화합,지역축제,문화예술,매년,축제추진위,없음,해당없음,2,,,여의천 일대
58,서울특별시,서초구,악기거리축제,9월 중,"○작은음악회, 거리콘서트, 악기거리 마켓, 체험행사 등",서울악기거리축제추진위원회,"2016년도
(4회)",10,0,0,10,0,,,문화예술,지역축제,문화예술,매년,축제추진위,없음,해당없음,1,,,서초동 악기거리
59,서울특별시,서초구,방배비보이페스티벌,9월 중,"○비보이 공연 및 아트풍선 쇼, 코스프레 포토존 운영 등",방배권역 비보이 축제추진위원회,"2017년도
(3회)",25,0,0,0,25,,,문화예술,지역축제,문화예술,매년,축제추진위,없음,해당없음,2,,,방배뒷벌공원
60,서울특별시,서초구,서초단오마당,6월 중,"○창포물에 머리감기, 전통 놀이마당 등",서초마을네트워크,"2016년도
(4회)",1,0,0,0,1,,,주민화합,지역축제,문화예술,매년,임의단체,없음,해당없음,1,,,양재시민의 숲
61,서울특별시,도봉구,201. 도봉산 국제 페스9티벌,9. 28~9. 29(2일간),"○ 산악행사(자연암벽대회, 익스트림스포츠대회)
○ 공연행사, 사찰행사, 체험행사","도봉구 문화체육과/도봉문화재단(추진위원회)
(02-2091-2256)","2017
(3회)",125,0,25,100,0,,,문화예술,지역축제,도봉산,매년,추진위원회,없음,전체위탁,30,30,,도봉산
62,서울특별시,도봉구,도봉구 우이천 등축제,4월 중," ○ 개막점등식: 개막식 공연
 ○ 테마가 있는 등 전시
 ○ 부대행사 : 문화공연, 공예 체험, 소원지쓰기, 둘리포토존","도봉구 문화체육과
(02-2091-2254)","2016
(3회)",130,0,0,130,0,,,문화예술,지역축제,등(燈)전시,기타,공공(구),없음,자체추진,150,150,,우이천
63,서울특별시,도봉구,도봉구 방학천 등축제,10월 중," ○ 개막점등식: 개막식 공연
 ○ 테마가 있는 등 전시
 ○ 부대행사 : 문화공연, 공예 체험, 소원지쓰기, 둘리포토존","도봉구 문화체육과
(02-2091-2254)","2013
(8회)",190,0,90,100,0,,,문화예술,지역축제,등(燈)전시,매년,공공(구),없음,자체추진,150,150,,방학천
64,서울특별시,도봉구,정의공주와 함께하는 도봉한글잔치,"10.8~10.9
(2일간)"," ○ 백일장, 미술대회, 창작뮤지컬 공연 등
 ○ 부대행사: 체험, 전시 ","도봉구 문화체육과 / 도봉문화원
(02-2091-2262)","2012
(8회)",42,0,20,20,2,,,문화예술,지역축제,한글,매년,재단법인,없음,전체위탁,5,5,,방학동 원당샘공원
65,서울특별시,시자체,한강몽땅 여름축제,"7.19~8.18
(31일간)","○ 3개 테마, 80개 프로그램
  - 시원한강, 감동한강, 함께한강 주제","서울특별시 한강사업본부 총무과
(02-3780-0710)","2013년도 
(7회)","1,287",0,1287,0,0,,,문화예술,지역축제,한강,매년,공공(시군구),없음,부분대행,"9,915","9,600",315,하천
66,서울특별시,시자체,한강서래섬꽃축제,"5.11~5.12
10.12~10.13","○ 5월 유채꽃, 10월 메밀꽃밭 즐기기 테마형 포토존 운영
○ 소규모 체험, 공연, 특별 프로그램, 쉼터 운영 등 ","서울특별시 한강사업본부 
문화홍보과 (02-3780-0796","2004년도 
(16회)",70,0,70,0,0,,,생태자연,지역축제,꽃,매년,공공(시군구),없음,전체대행,38,35,3,하펀
