연번,시도명,시군구명,축제명,"2016년
개최기간",축제주요내용,"주최/주관
(담당자 연락처)","최초개최년도
및 횟수","2016년
축제예산(안)
(단위 : 백만원)",국비,"시,도비","구,군비",기타,"축제종류
(택1)",축제소재,개최주기,조직형태,"축제사무국
상설화여부 ","사업위탁
운영여부","방문객수(2015년기준) 
(단위 : 천명)",개최장소
13,서울특별시,시자체,"서울 북 페스티벌
Seoul Book Festival
도서관아! 놀자","10월 예정
(2일간)","ㅇ독서 공동체 프로그램 
   (공동체 프로그램 포맷하에 매년 기획)
ㅇ책과 도서관을 테마로 한 공연, 전시, 체험 프로그램
ㅇ독서문화활동, 저자, 출판, 도서관, 책방 관련 프로그램
ㅇ그 해의 주제 설정하여 관련 프로그램 기획","서울특별시 서울도서관
(02-2133-0226)","2008년도
(9회)",235,,235,,,주민화합,"전주제
(책의 주제가 될 수 있는 모든 것)",매년,공공/축제추진위,정규직 1명,"부분위탁
(하드웨어)",55,"서울광장, 서울도서관"
14,서울특별시,시자체,16 한강몽땅 여름축제,"7.15~8.21
(38일간)","○ 3개테마 80여개 프로그램
  - 수영장, 박스원레이스, 수상레포츠 등","한강사업본부 총무과
(02-3780-0718)","2013년
(4회)",698,,698,,,문화예술,수상레포츠,매년,공공,없음,자체추진,"12,000목표",한강공원
15,서울특별시,과천시,서울대공원 벚꽃 축제,"4.9~4.24
(16일간)",○ 벚꽃주제 공연 및 전시 등,"서울대공원 전략기획실
(02-500-7022)","2005년도
(12회)",70,,70,,,문화예술,벚꽃,매년,공공,없음,부분위탁,302,동물원
16,서울특별시,과천시,서울대공원 장미원 축제,"5.28~6.12
(16일간)",○ 어린왕자 주제 전시 및 장미풀장 등,"서울대공원 전략기획실
(02-500-7022)","2003년도
(14회)",50,,50,,,문화예술,장미,매년,공공,없음,부분위탁,363,장미원
17,서울특별시,과천시,서울대공원 별밤 축제,"8.13~8.28
(16일간)",○ 야간동물원 구석구석 즐기는 야행성 프로그램,"서울대공원 전략기획실
(02-500-7022)","2005년도
(12회)",80,,80,,,문화예술,야간동물원,매년,공공,없음,부분위탁,97,동물원
18,서울특별시,과천시,서울대공원 가을 축제,"10.8~10.23
(16일간)",○ 단풍 물드는 대공원에서 펼쳐지는 거리공연 등,"서울대공원 전략기획실
(02-500-7022)","2003년도
(14회)",80,,80,,,문화예술,세계문화,매년,공공,없음,부분위탁,255,동물원
19,서울특별시,구로구,점프구로2016축제,"10.1~10.2 예정
(2일간)","○ G밸리 넥타이마라톤 대회 외
 ○ 지역주민 참여와 화합을 테마로한 공연, 전시, 체험프로그램 운영
 ○ 개폐막 공연, 주제공연 및 문화공연
    - 4개 분야 20여개 프로그램
 ○ 기타 특별행사 및 전시 등등","구로구 문화체육과
(02-860-3414)","2003년도
(11회)",280,0,67,213,0,주민화합,"G밸리, 주민화합 등",매년,"공공(시군구)
임의단체
시민단체",없음,"·부분위탁
 (운영,하드웨어, 
   프로그램)",700,"하천 변 , 근린공원, G밸리"
20,서울특별시,강서구,허준축제,"10.7~9
(3일간)","○ 허준,동의보감 주제 6개 테마관 운영
○ 한방 침, 뜸체험, 약초체험, 허준뮤지컬, 허준콘서트 등
    공연, 전시, 체험프로그램 운영
 ○ 개폐막 공연, 주제공연 및 문화공연
    - 4개 분야 50여개 프로그램
 ○ 기타 건강 특별전, 허준유틍 및 테마등 전시 등
      사전프로그램 운영","강서구청 문화체육과
/강서문화원
(02-2600-6455)","1999년도
(제17회)",318,,30,288,,문화예술,"허준,동의보감",매년,축제추진위원회,없음,부분위탁,50,"구암근린공원
일대"
21,서울특별시,강서구,제2회겸재문화예술제,"5.5. ~ 5.7.
(3일간)"," ○ 전국 사생대회, 진경대전
 ○ 겸재를 주제로한 전시, 및 어린이날 체험프로그램 운영
 ○ 특별전, 겸재퍼포먼스 등 개막행사, 궁산에서 펼쳐지는 
     예술한마당, 산수음악회 등 공연 및 겸재 등(청사초롱)
     전시
 ○ 기타 야외전시 및 학술대회 등","강서문화원(겸재정선미술관)
(02-2600-6154)","2015년도
(제2회)",112,,32,67,13,문화예술,겸재 정선,매년,예술제추진위,없음,"부분위탁
(프로그램)",5,"겸재정선미술관, 궁산 등"
22,서울특별시,마포구,DMC 페스티벌,10월 예정," ○ 공중파 중심의 한류 관련 공연
 ○ 신기술 전시 및 체험, 컨퍼런스 등 학술행사
 ○ 비즈니스 상담회 등 ",서울산업진흥원,"2008년
(9회)",400,,,,"400
(자체)",문화예술,"문화예술,
신기술",매년,재단법인,,자체운영,350,DMC단지 일원
23,서울특별시,중랑구,서울장미축제,"5.20~5.22
(3일간)"," ○ 5월 20일 장미의 날 : 주민참여프로그램(장미퍼레이드, 장미가요제 및 축하공연)
 ○ 5월 21일  연인의 날 : 장미와 어울리는 젊은 연인을 위한 프로그램(로즈&뮤직파트)
 ○ 5월 22일 아내의 날 : 아내(중년부부)를 위한 프로그램(아내의 날 이벤트, 가든 디너쇼)
○ 상설프로그램 : 로즈마켓, 등달기체험, 먹거리장터","중랑구 문화체육과
(02-2094-1832)","2012년도
(5회)",293,0,200,93,0,주민화합,장미,매년,공공,없음,부분위탁,,"공원, 하천둔치,운동장,도로 "
24,서울특별시,강동구,강동선사문화축제,"10.7~10.9
(3일간)"," ○ 대표프로그램 : 원시 대탐험 거리 퍼레이드
 ○ 국가사적인 서울 암사동 유적의 선사문화를 테마로 하는 공연, 전시, 체험프로그램 운영
 ○ 개폐막 공연, 체험행사, 공연, 전시, 기타행사
    - 6개 분야 80여개 프로그램
 ○ 세계문화유산 등재 기원행사 등","강동구 문화체육과
/ 강동선사문화축제 추진위원회
(02-3425-5246)","1996년도
(21회)",305,,,305,,전통역사,선사유적,매년,공공(시군구),없음,자체추진,350,서울 암사동 유적
25,서울특별시,동작구,도심속 바다축제,"9월말~10월초
(2~3일간)","○ 세계수산물 축제, 동작바다콘서트
○ 활어맨손잡기, 수산물 골든벨, 모의경매 등 
    체험프로그램 운영
○ 개폐막 공연, 주제공연 및 문화공연
    - 30여개 프로그램","동작구 교육문화과
(02-820-2941) ","2011년도
(5회)",385,30,200,95,60,문화예술,수산물,매년,축제추진위,비상설,자체추진,250천명,노량진수산시장 일대
26,서울특별시,영등포구 ,제11회 영등포 여의도 봄꽃축제,"4.6 ~4.10 
(5일간) "," ○ 전문 예술가 및 시민공모 프로그램 운영(무대/거리공연)
 ○ 예술체험 및 홍보존 
 ○ 관광사진작품 전시, 현대작가야외초대전 등 작품 전시
 ○ 영등포관광정보센터 운영
 ○ 영등포관광그랜드세일 : 숙박/식/음료업체 이용 할인 ","영등포구 
문화체육과 및 영등문화재단 
(02-2670-3128)","2016년
(12회)",608,0, ,241, ,문화예술,문화관광 ,매년,공공 ,없음 ,부분위탁,"6,000",도로(여의서로)
27,서울특별시,성동구,응봉산 개나리축제,"3.31~4.3
(4일간)"," ○ 청소년및 일반인 대상 그림그리기및 글짓기대회
 ○ 응봉산 암벽체험행사 운영
 ○ 응봉산 야경및 개나리사진 스마트폰 공모전
 ○ 개나리음악회및 야간 산상 콘서트
 ","성동구 문화체육과/ 성동문화재단
(김병조/02-2286-5202)","1997년도
(19회)",15,0,미정,15,0,문화예술,개나리,매년,공공(시군구),없음,전체위탁,0.5,기타(응봉산 팔각정)
28,서울특별시,성동구,태조 이성계 축제,"9.23~9.25
(3일)"," ○  태조 이성계 사냥행차 거리 퍼레이드
 ○ 사냥체험 축제""으랏차차! 뚝도의 전설""
 ○ 창작뮤지컬 ""인월, 이성계 달을 끌어올리다""
 ○ 인류무형문화유산 매사냥 시연, 뚝제와 검무 축제
 ○ 군대 열무및 조선무예 시범(24반)  ","성동구 문화체육과/ 성동문화재단
(김병조/02-2286-5202)","1999년도
(6회)
",50,0,미정,50,0,전통역사,사냥행차,매년,공공(시군구),없음,자체추진,1.2,"시내거리,
살곶이운동장"
29,서울특별시,성동구,성동디자인위크,10. 7~10.14," ○ 관내 디자이너 및 아티스트들의 작품 전시 및 소개
 ○ 신진 작가와 함께하는 문화예술 체험 프로그램 운영","서울특별시 성동구 지역경제과
(02-2286-5455)","2015년도
(1회)",50,,,50,,문화예술,,매년,공공,없음,자체추진,1,"공원, 공방, 까페 등"
30,서울특별시,종로구,"2016 D.FESTA 
대학로 거리공연축제","9월중
(5일간)","○ 거리공연프로그램(해외10개팀,국내40개팀)
○ 안전체험 프로그램, 및 세미나","(사)소극장협회 / D.FESTA 
대학로 거리공연축제 축제실행 위원회(02-2148-1813)","2007년도
(10회)",180,,180,,,문화예술,거리공연,매년,"사단법인
축제조직위원회",없음,전체위탁,100,대학로마로니에공원 일대
31,서울특별시,종로구,세종마을 세종주간 축제,10월중,"○ 세종대왕 어가행렬, 생신연
○ 인왕산그리기 대회 및 전시회","종로구 문화과/
(사)세종마을가꾸기회
(02-2148-1813)","2011년도
(6회)",16,,10,5,1,전통역사,"세종대왕 
어가행렬 재현 등",매년,사단법인,없음,전체위탁,10,"광화문광장~
세종마을 일대"
32,서울특별시,종로구,"궁중과 사대부가의
전통음식축제","9월중
(2일간)"," ○ 특정주제의 궁중음식 전시 
 ○ 구민 주도 무료 체험프로그램 운영
 ○ 주제공연 및 지역공동체의 문화공연
 ○ 기타 전문가 시연 등  ","종로구 관광체육과
/ 주관 미정
(02-2148-1853)","2004년도
(10회)",150,,,150,,전통역사,궁중음식,매년,미정,없음,전체위탁,7.6,광장
33,서울특별시,종로구,육의전체험축제,"9월중
(2일간)"," ○ 전통한옥 육의전 체험부스 : 14개 부스 운영
 ○ 소특구 우수상품 전시·판매 
 ○ 육의전 이동 박물관, 종로청계관광특구 홍보관 운영
 ○ 전통·현대가 어우러진 무대 프로그램 운영
 ○ 육의전의 흔적을 찾아가는 시간여행 해설코스 운영","종로구 관광체육과
/종로청계관광특구협의회
(02-2148-1862)","2007년도
(11회)",80,,40,40,,전통역사,육의전,매년,사단법인,없음,전체위탁,22,시내거리
34,서울특별시,종로구,윤동주문학제,"9월중
(3일간)"," ○ 전국 윤동주창작음악제
 ○ 전국 청소년 윤동주시화공모전&전시회","종로문화재단 
(02-6203-1162)","2014년도
(3회)",40,,,40,,문화예술,시인 윤동주,매년,재단법인,없음,자체추진,5,윤동주문학관&시인의 언덕
35,서울특별시,종로구,인사전통문화축제,"9월중
(7일간)"," ○ 전통국악공연
 ○ 전통를 테마로한 공연, 전시, 체험프로그램 운영
 ○ 개막식 공연, 전통음식축제, 전통명가전 등
    - 3개 분야 14개 프로그램","종로구 문화과/
(사)인사전통문화보존회
(02-2148-1806)","1988년도
(29회)",67,,67,,,전통역사,전통문화,매년,사단법인,없음,전체위탁,3,시내거리(인사동 문화지구 거리 등)
36,서울특별시,중구,남대문 아동복축제,"어린이날 전후
(3~5일간)"," ○ 아동복할인행사, 캐릭터 퍼레이드 등","남대문관광특구협의회
(02-753-2805)","2007년도
(9회)",미정,,,,,기타,아동복,매년,민간단체,없음,전체위탁,10,시장
37,서울특별시,중구,명동 빛 축제,"성탄절 전후
(30~60일간)"," ○ 크리스마스 트리, 포토죤, 가로수 빛 장식 등","명동관광특구협의회
(02-774-9911)","2013년도
(3회)",미정,,,,,기타,빛 장식,매년,민간단체,없음,전체위탁,50,시내거리
38,서울특별시,중구,정동야행,"5. 27~5.28
10.28~10.29"," ○ 정동 문화시설 야간개방, 덕수궁길 체험존, 고궁음악회","중구 문화관광과
(02-3396-4612)","2015년도
(2회)",325,,,325,,문화예술,문화재,매년,공공,없음,부분위탁,190,중구정동일대
39,서울특별시,중구,충무로뮤지컬영화제,7.6~7.11," - 총 10개 이상 섹션 구성, 영화 25편 이상 상영
 - 공식 개·폐막식, 초청작 상영, 야외상영, 심야상영, 피칭프로그램 등
 - 영화와 뮤지컬 공연이 결합된 충무로뮤지컬영화제만의 특화 된 이벤트","중구 문화재단
(02-3396-4603)",2016년,500,,`,500,,문화예술,영화,매년,재단법인,없음,부분위탁,,"충무아트홀,DDP"
40,서울특별시,은평구,북한산페스티벌,미정(3일간),"○ 북한산 페스티벌  콘서트 (예정)
○ 한복패션쇼  등 추진 (예정)
○ 아웃도어 마켓 운영 등 (예정)
○ 한(韓)문화, 아웃도어 체험프로그램(예정)","서울시 은평구청 문화관광과
(02-351-6504)",2012년도,80,0,20,40,20,문화예술,"북한산, 한(韓)문화체험특구, ",매년,축제조직위,"있음

정규직 5명
총 5명  ","부분위탁
(운영, 프로그램)",40,북한산성
41,서울특별시,은평구,은평누치축제,미정(3일간),"○파발제 운영(예정)
○광장축제(예정)
○음악공연(예정)
","서울시 은평구청 문화관광과
(02-351-6511)",2011년도,199,,,199,,문화예술,파발제,매년,축제조직위,,"부분위탁
(운영, 프로그램)",20,은평구 관내
42,서울특별시,성북구,성북진경축제,"10월중
(10일간)"," ○ 성북진경콘서트(이태준, 조지훈, 한용운 등)
 ○ 고택공연 등","문화체육과 / 성북문화재단
(070-8644-8320)",2012년도,40,,30,10,,전통역사,성북구 역사문화자원,매년,재단법인,없음,전체위탁,300,성북구 한양도성 구간 및 성북동 고택
43,서울특별시,성북구,한양도성풍류순성,"10월중
(10일간)"," ○ 한양도성 탐방 
 ○ 한양도성 스토리텔링 문학콘서트 등","문화체육과 / 성북문화재단
(070-8644-8320)",,15,,,,15,전통역사,한양도성,매년,재단법인,없음,전체위탁,63,한양도성 구간
44,서울특별시,도봉구,도봉구 등축제,"9.19~9.29
(11일간)"," ○ 개막점등식, 테마가 있는 등 및 둘리와 친구들 등 전시
 ○ 부대행사 : 나만의 등 제작 및 전시, 한지공예 현장체험
                     오색한지 소원지 쓰기, 포토존 설치","도봉구 문화체육과
(02-2091-2254)","2013
(3회)",,64,30,34,,문화예술,등,매년,공공(구),없음,자체추진,120,하천
45,서울특별시,성북구,성북다문화음식축제,"5월중
(15일간)"," ○ 국가대표요리사, 우리동네요리사
 ○ 지구여행자마켓, 이웃동네예술장 등","문화체육과 / 성북문화재단
(070-8644-8320)","2008년도
(7회)",100,,30,70,,문화예술,"성북구 지역특성
(대사관 다수 소재 등)",매년,재단법인,없음,전체위탁,500,성북동 일대
46,서울특별시,광진구,서울동화축제,5.4~5.6,"해피할머니 및 이웃나라 동화세상, 종이컵인형극, 나루몽도서관, 뚝딱뚝딱그림책, ,페이스페인팅, 상상속 사진전, 별별 아트마켓,동화패밀리가떴다, 후크선장을이겨라, 나루몽별모으기 등 동화를 테마로 전시, 공연, 체험 프로그램 운영
",광진구 문화체육과/서울동화축제추진위원회(450-7596),2012(4),496,,300,121,,문화예술,동화,매년,축제추진위,없음,부분위탁,65,서울어린이대공원 및 건대역 인근 능동로
47,서울특별시,광진구,광나루어울마당,10.14~10.15,"동별화합경연대회, 구민노래자랑
평생학습동아리 발표
광진아트마켓 등 체험행사",광진구 문화체육과(450-7575),2011,90,,10,80,,문화예술,주민화합,매년,공공,없음,부분위탁,20,서울어린이대공원 및 능동로
48,서울특별시,동대문구,서울약령시 한방축제,"10.7~10.8
(2일간)","○ 보제원 제향 및 거리퍼레이드
○ 한방사랑 시민걷기대회
○ 한방약선 요리대회 등","(사)서울약령시협회
(02-969-4793)","1995년도
(22회)",230,,150,30,50,지역특산물,한약,매년,사단법인,"있음
정규직 3명",전체위탁,45,시장
49,서울특별시,동대문구,세계거리춤축제,"10.8~10.9
(2일간)","○ 거리퍼레이드
○ 세계의 춤 공연
○ 개폐막 공연, 주제공연 및 문화공연
    -30여개 프로그램
○ 각종 체험부스, 먹거리부스 운영","(사)세계거리춤축제위원회
(02-2127-4711)","2012년도
(5회)",160,40,100,20,,문화예술,세계의 춤,매년,사단법인,"있음
계약직 3명","부분위탁
(하드웨어,프로그램)",350,시내거리
50,서울특별시,동대문구,청룡문화제,"10.23~10.24
(2일간)","○ 어가행렬
○ 청룡제향
○ 축하콘서트, 전통문화 체험부스 운영","동대문문화원
(02-2127-4705)","1991년도
(26회)",85,,50,35,,전통역사,기우제,매년,재단법인,"있음
정규직 3명",전체위탁,10,공원
51,서울특별시,용산구,드래곤 IT 페스티벌,"2016.10.
(미정)","○ 개막 콘서트 개최 
○ 첨단 전자제품 대회, 체험, 전시 판매
○ 상가별 문화공연 및 벼룩시장 등 이벤트개최 ","용산구상공회
(02-718-7812)",2012,200,0,0,20,180,지역특산물,전사상가의 첨단 전자제품별 대회개회 및 전시 판매,매년,임의단체,,자체추진,5,용산전자상가일대
52,서울특별시,용산구,"2016 이태원 지구촌
 축제","10월 중순
(2일간)","○ 개폐막 공연, 주제공연 및 문화공연
    - 세계음식전, 세계풍물전, 거리퍼레이드","(사)이태원관광특구연합회
(02-797-7319)","2008년도
(9회)",200,,,200,,문화예술,관광,매년,사단법인,없음,자체추진,"1,200","이태원관광
특구내 일대"
53,서울특별시,서대문구,서대문독립민주축제,"8.14~8.15
(2일간)"," ○ 생존독립민주지사 풋프린팅
 ○ 독립과 민주를 테마로한 체험, 교육프로그램 운영
     - 4개분야 30여개 프로그램
 ○ 개막공연, 역사콘서트 등 문화공연","서대문구 문화체육과
/ 독립민주페스티벌추진위원회
(02-330-8161)","2011년도
(6회)
",180,0,30,150,0,전통역사,"독립민주역사
서대문형무소
역사관",매년,축제조직위,없음,부분위탁,70,유적지
54,서울특별시,서대문구,봉원사 서울연꽃문화축제,7월말 ," ○ 도심속 산사음악회
 ○ 영산재, 연꽃퍼포먼스, 국악한마당
 ○ 한지공예, 연꽃페이스페인팅 등 체험프로그램","한국불교태고종 봉원사
(02-392-3007)","2003년
(14회)",48,10,,25,13,전통역사,연꽃,매년,재단법인,없음,전체위탁,3,사찰 경내
55,서울특별시,서대문구,"신촌크리스마스
거리축제","12.23~26
(예정)","○ 크리스마스 콘서트
○ 크리스마스 거리가게(마켓&체험부스)운영
○ 개막식 및 오프닝 축하공연
○ 키즈존, 포토존 등 이벤트 운영","서울특별시 서대문구
/문화체육과
(02-330-1003)","2013년
(4회)",93,,,93,,주민화합,크리스마스,매년,공공(자치구),없음,자체추진,21,거리
56,서울특별시,서대문구,제4회 신촌물총축제,"7.9~7.10
(2일간)","○ 물총싸움, 워터슬라이드, 버블파티, 퍼레이드(예정)
○ DJ쇼, 거리댄스, 물총결혼식 및 기타 이벤트(예정) ","무언가
(02-330-1252)","2013년도
(4회)",미정,,,,,문화예술,물총,매년,임의단체,없음,자체추진,30,시내거리
57,서울특별시,서대문구,서대문 책으로 축제,"9.3~9.4
(2일간)","○ 북콘서트
○ 독서를 주제로 한 프로그램, 낭독, 전시, 체험프로그램 운영","서대문구청 문화체육과
/ 서대문구립이진아기념도서관
(02-330-1966)","2012년도
(5회)",40,,,40,,주민화합,독서,매년,공공(시군구),없음,전체위탁,13,공원
58,서울특별시,금천구,금천하모니 벚꽃축제,"4.16~17
(2일간)"," ○ 천인의 오케스트라 & 천인의 합창
 ○ 달팽이 마라톤 & 해피워킹
 ○ 주민참여프린지공연, 불꽃놀이콘서트 등","금천구 축제추진위원회
(02-2627-1443)","2006년도
(12회)",70.7,0,30,40.7,0,주민화합,"음악, 벚꽃",매년,축제조직위,없음,자체추진,25,광장
59,서울특별시,송파구,백제고분제,10.7,"○ 왕의 행렬, 한성백제인물열전, 제천의식 등","서울특별시 송파구 문화체육과
(02-2147-2811)","1996년도
(20회)",13,,,13,,전통역사,전통문화,매년,공공(시군구),없음,자체추진,1,
60,서울특별시,송파구,석촌호수 봄꽃축제,4.8~4.10,"○ 문화공연, 체험마당, 먹거리장터 등","서울특별시 송파구 문화체육과
(02-2147-2806)",,30,,,30,,생태자연,벚꽃,매년,공공(시군구),없음,자체추진,"2,000",
61,서울특별시,송파구,2015 성내천 가을음악회,10월중,○ 대중음악중심 주민참여음악회,"서울특별시 송파구 문화체육과
(02-2147-2806)",,37,,,37,,주민화합,음악,매년,공공(시군구),없음,자체추진,5,
62,서울특별시,송파구,2015 석촌호수 가을음악회,10월중,○ 발라드&클래식 국내외 관광객 참여음악회 등,"서울특별시 송파구 문화체육과
(02-2147-2806)",,100,,`,100,,주민화합,음악,매년,공공(시군구),없음,자체추진,5,
63,서울특별시,송파구,책 읽는 송파 북페스티벌,"10.15~16
(2일간)"," ○ 독서가족 퀴즈대회
 ○ 책 관련 주제 부스 운영
 ○ 독서문화공연
     - 가족연극
     - 이야기 할머니 할아버지 구연동화
     - 도서관 어린이 특별 공연 등
 ○ 도서전시 및 독서문화체험 행사 30여개 프로그램","서울특별시 송파구 교육협력과
(02-2147-2377)","2013년도
(4회)",20,,,20,,문화예술,책,매년,공공(시군구),없음,자체추진,40,공원
64,서울특별시,송파구,제16회한성백제문화제,2016.10.6-10.9,"○ 역사문화거리행렬
○ 한성백제체험마을
○ 한성백제갈라퍼레이드
○ 혼불채화식
○ 동명제
○ 한성백제 전국창작동요제
○ 한성백제 음식재현전
○ 전국청소년예능동아리경연대회
○ 몽촌해자 수변무대
○ 각종 체험 및 전시 등
",송파구국제관광과(02-2147-2111)/한성백제문화제추진위원회,1994년도(15회),844,84,450,310,,전통역사,한성백제,매년,공공,없음,자체추진,560,"공원,고분 등
"
65,서울특별시,송파구,"석촌호수
 낙엽거리축제","11.3~11.6
(4일간)
","○ 낙엽길 조성
○ 낙엽을 테마로 한 공연,전시,체험프로그램 운영
○ 개폐막 공연, 낙엽거리 음악회 및 수변무대 공연
-6개 분야 20여개 프로그램
○ 기타 이벤트 및 상시 전시 낙엽길 조성 등등","송파구청 국제관광과 관광마케팅팀 담당자 김영호
(02-2147-2109)","2016년도
(1회)",300,,300,,,생태자연,낙엽,매년,"
공공(시군구)
",없음,·자체추진+부분위탁(예정),300,석촌호수 및 주변
66,서울특별시,송파구,제9회오금동한마음축제,"5.27~5.29
(3일간)","○ 첫째날: 청소년 여가문화동아리 경연대회
○ 둘째날:동민 한마음 노래자랑
○ 셋째날:성내천 봄날春 행복 음악회
○ 부대행사
     ?북 페스티벌, 도서교환 및 할인전      
     ?청소년을 위한 체험부스 운영     
     ?농수산물직거래 장터 및 먹거리장터 운영 등","오금동한마음축제추진위원회/오금동한마음축제추진위원회
(담당자:신호택 02-2147-4270)","2008년도
(9회)",35,,5,,30,주민화합,성내천벛꽃,· 매년,공공(읍면동),없음,자체추진,15,성내천물빛광장무대
67,서울특별시,관악구,관악강감찬축제,"4.30~5.1
(2일간)","ㅇ 강감찬장군 출병식 및 승전행렬 재현
ㅇ 강감찬장군 및 고려사를 테마로 한 공연,전시, 체험프로그램운영
ㅇ 강감찬서예대전, 테마사진공모전 등","관악구 문화체육과
/문화예술진흥위원회
(02-879-5605)","1998
(25회)",142,2,40,100,,전통역사,강감찬장군 및 고려사,매년,공공(시군구),없음,부분위탁,120,관악산주차광장
